fomc_id,date,sentence,sentence_length,growth_sentiment,employment_sentiment,inflation_sentiment,prediction_finbert,sentiment_score_finbert,sentiment_vader_logit,sentiment_vader_logit_score,sentiment_vader_compound,sentiment_vader_compound_score,growth_sentiment_gpt4,employment_sentiment_gpt4,inflation_sentiment_gpt4,id,stance_label,stance_label_name
11932.0,2018-11-29,"Household spending has continued to grow strongly, while growth of business fixed investment has moderated from its rapid pace earlier in the year.",23,positive,neutral,neutral,positive,0.8514,positive,0.63920147454366,positive,0.5719,positive,neutral,neutral,27,2,neutral
11933.0,2019-01-09,Some participants expressed an interest in learning more about possible options for new ceiling tools to provide firmer control of the policy rate.,23,neutral,neutral,neutral,positive,0.5689,positive,0.6127294642065295,positive,0.4588,neutral,neutral,positive,28,1,hawkish
11934.0,2019-01-09,"Exports declined a little, with decreases in exports of agricultural products and capital goods, although exports of industrial supplies increased.",20,neutral,neutral,neutral,negative,-0.924,positive,0.654052365591518,positive,0.6369,neutral,neutral,positive,29,2,neutral
11935.0,2019-01-09,"The U.S. dollar appreciated modestly; although declines in U.S. yields weighed on the dollar, deteriorating global risk sentiment provided support.",20,neutral,neutral,positive,positive,0.84,positive,0.624947117938639,positive,0.5106,neutral,neutral,positive,30,2,neutral
11940.0,2019-04-10,"Total PCE price inflation was forecast to run a bit below core inflation over the next three years, reflecting projected declines in energy prices.",24,neutral,neutral,positive,negative,-0.81,positive,0.5678783310011088,positive,0.2732,neutral,neutral,positive,31,0,dovish
11941.0,2019-04-10,"Participants cited various factors as likely to contribute to the step-down, including slower foreign growth and waning effects of fiscal stimulus.",21,negative,neutral,No majority found,negative,-0.83,positive,0.594307167585335,positive,0.3818,negative,neutral,neutral,32,0,dovish
11942.0,2019-05-22,These factors were thought to have helped buoy consumer and business confidence or to have mitigated short-term downside risks to the real economy.,23,positive,neutral,neutral,positive,0.9068,positive,0.6083543386109735,positive,0.4404,neutral,neutral,neutral,33,0,dovish
11943.0,2019-07-10,"Equity prices fell notably over the first few weeks of the period, primarily in response to the escalation of trade tensions with China and Mexico.",25,negative,neutral,neutral,negative,-0.965,negative,0.4211144841706044,negative,-0.3182,negative,neutral,neutral,34,0,dovish
11944.0,2019-10-09,Participants agreed that the labor market had remained strong over the intermeeting period and that economic activity had risen at a moderate rate.,23,positive,positive,neutral,positive,0.9315,positive,0.6682542826737791,positive,0.7003,positive,neutral,neutral,35,2,neutral
11945.0,2019-11-20,"Moreover, participants generally expected that trade uncertainty and sluggish global growth would continue to damp investment spending and exports.",19,negative,neutral,neutral,negative,-0.939,negative,0.4106691108495632,negative,-0.3612,negative,neutral,neutral,36,0,dovish
11948.0,2020-02-19,"Available monthly data suggested that imports fell significantly, led by declines in consumer goods and automobiles, while exports were about flat.",21,negative,neutral,neutral,negative,-0.957,positive,0.6083543386109735,positive,0.4404,neutral,neutral,neutral,37,2,neutral
11949.0,2020-04-08,"Yields on nominal Treasury securities plummeted across the maturity spectrum, with the 10- and 30-year yields reaching all-time lows at some point.",22,neutral,neutral,No majority found,negative,-0.96,positive,0.5734643936132494,positive,0.296,neutral,neutral,neutral,38,0,dovish
11950.0,2020-05-20,"This reading highlighted possible vulnerabilities in mortgage servicers, insurance companies, and large, highly leveraged financial intermediaries.",16,negative,neutral,neutral,negative,-0.83,neutral,0.5319563807976407,positive,0.128,neutral,neutral,neutral,39,2,neutral
11951.0,2020-10-07,"The unemployment rates for African Americans, Asians, and Hispanics declined over the past two months but remained well above the national average.",22,neutral,positive,neutral,negative,-0.833,negative,0.3916456613890264,negative,-0.4404,neutral,neutral,neutral,40,0,dovish
11952.0,2020-10-07,Foreign economic activity plunged in the second quarter as a result of the COVID-19 pandemic and the associated restrictive measures to contain it.,23,negative,neutral,neutral,negative,-0.96,neutral,0.5,neutral,0.0,negative,neutral,neutral,41,2,neutral
11953.0,2020-11-25,"Total nonfarm payroll employment expanded strongly in September, but the gain was markedly below the even larger increases seen in previous months.",22,neutral,positive,neutral,positive,0.384,positive,0.6993490465266773,positive,0.8442,positive,neutral,neutral,42,2,neutral
11954.0,2020-11-25,Uncertainty about additional U.S. fiscal stimulus and the outcome of the U.S. presidential election also caused some asset price volatility abroad.,21,negative,neutral,neutral,negative,-0.903,neutral,0.5064496422423137,neutral,0.0258,neutral,neutral,positive,43,2,neutral
11955.0,2020-11-25,"However, the uncertainty surrounding earning prospects was reportedly making many business owners less willing to take on debt at prevailing terms.",21,negative,neutral,neutral,negative,-0.943,negative,0.4008559301877525,negative,-0.4019,neutral,neutral,positive,44,0,dovish
11956.0,2021-01-06,Market participants had highlighted that uncertainty nevertheless remained high and had pointed to several prominent risks to the economic outlook.,20,negative,neutral,neutral,negative,-0.67,neutral,0.5128971385098865,positive,0.0516,neutral,neutral,neutral,45,0,dovish
11957.0,2021-01-06,Short-term delinquencies and defaults remained relatively elevated but significantly lower than the levels observed following the financial crisis.,18,negative,neutral,neutral,negative,-0.761,negative,0.3240765667941439,negative,-0.7351,neutral,neutral,neutral,46,2,neutral
11960.0,2021-05-19,Total PCE price inflation was 1.6 percent over the 12 months ending in February and continued to be held down by low rates of resource utilization.,26,negative,neutral,positive,negative,-0.948,negative,0.4321216689988913,negative,-0.2732,neutral,neutral,positive,47,0,dovish
11961.0,2021-05-19,The staff noted that corporate bond spreads had declined notably since late last year and were at the lower ends of their historical distributions.,24,positive,neutral,neutral,negative,-0.963,negative,0.4321216689988913,negative,-0.2732,positive,neutral,neutral,48,2,neutral
11962.0,2021-07-07,"Lower term premiums appeared to be a significant component of the declines, as reflected by lower implied volatility on longer-term interest rates.",22,negative,neutral,neutral,negative,-0.833,neutral,0.5382004122365355,positive,0.1531,neutral,neutral,positive,49,2,neutral
11963.0,2021-07-07,"For commercial real estate (CRE) financed through capital markets, financing conditions remained mostly accommodative over the intermeeting period.",18,positive,neutral,neutral,neutral,-0.014,neutral,0.5,neutral,0.0,neutral,neutral,neutral,50,2,neutral
11964.0,2021-10-13,"In the euro area and the United Kingdom, higher-than-expected inflation data contributed to the rise in yields and inflation compensation measures.",21,neutral,neutral,negative,positive,0.908,positive,0.6038421309156661,positive,0.4215,neutral,neutral,positive,51,1,hawkish
11965.0,2022-01-05,A couple of others noted the risk that persistent real wage growth in excess of productivity growth could trigger inflationary wageprice dynamics.,22,neutral,No majority found,negative,negative,-0.931,positive,0.6661448670999395,positive,0.6908,neutral,neutral,positive,52,1,hawkish
11966.0,2022-01-05,Supply and demand imbalances related to the pandemic and the reopening of the economy have continued to contribute to elevated levels of inflation.,23,neutral,neutral,negative,negative,-0.888,neutral,0.4680436192023592,negative,-0.128,neutral,neutral,positive,53,1,hawkish
11968.0,2022-02-16,"Far forward real yields moved higher over the period, with much of the increase following the release of the minutes for the December FOMC meeting.",25,neutral,neutral,neutral,positive,0.9263,positive,0.5788855158293956,positive,0.3182,neutral,neutral,positive,54,1,hawkish
11970.0,2022-04-06,"The effective federal funds rate and the Secured Overnight Financing Rate generally held steady at 8 basis points and 5 basis points, respectively.",23,neutral,neutral,neutral,neutral,0.0088,positive,0.6904021378903575,positive,0.802,neutral,neutral,positive,55,2,neutral
11971.0,2022-04-06,They further judged that ongoing increases in the target range for the federal funds rate would be warranted to achieve the Committee's objectives.,23,neutral,neutral,No majority found,positive,0.8748,positive,0.5788855158293956,positive,0.3182,neutral,neutral,neutral,56,1,hawkish
11972.0,2022-05-25,"The unemployment rates for African Americans and for Hispanics moved lower, though both rates remained noticeably higher than the national average.",21,neutral,positive,neutral,negative,-0.766,negative,0.3486678448481406,negative,-0.6249,neutral,neutral,positive,57,0,dovish
11973.0,2022-07-06,"The private-sector job openings rate, as measured by the Job Openings and Labor Turnover Survey, edged lower in April but remained at a high level.",25,neutral,positive,neutral,negative,-0.935,negative,0.4265356063867507,negative,-0.296,neutral,neutral,neutral,58,1,hawkish
11974.0,2022-07-06,"A couple of participants raised the possibility that tight labor markets would spur investment in automation by firms, boosting labor productivity.",21,positive,negative,neutral,positive,0.916,positive,0.5991440698122475,positive,0.4019,positive,neutral,neutral,59,1,hawkish
11975.0,2022-08-17,"Nominal wage growth continued to be rapid and broad based, with average hourly earnings having risen 5.1 percent over the 12 months ending in June.",25,neutral,positive,neutral,positive,0.9341,positive,0.594307167585335,positive,0.3818,positive,neutral,neutral,60,1,hawkish
11976.0,2022-11-23,The number of home-purchase and refinance mortgage originations were about flat in August and September but down significantly from late last year.,22,negative,neutral,neutral,negative,-0.964,neutral,0.5192904202999741,positive,0.0772,neutral,neutral,neutral,61,0,dovish
11977.0,2023-02-22,"The market-implied federal funds rate path for 2023 was little changed, on net, during the intermeeting period but fell moderately beyond mid-2024.",22,neutral,neutral,neutral,negative,-0.933,neutral,0.5,neutral,0.0,neutral,neutral,neutral,62,2,neutral
11978.0,2023-02-22,"Interest rates on existing credit cards continued to increase in recent months, and interest rates on new auto loans also rose through mid-January.",23,negative,neutral,neutral,positive,0.9286,positive,0.7051616859142585,positive,0.872,neutral,neutral,positive,63,1,hawkish
11979.0,2023-02-22,A few participants remarked that recent failures of companies involved in crypto finance have had a limited effect on the broader financial system.,23,negative,neutral,neutral,negative,-0.821,negative,0.345947634408482,negative,-0.6369,neutral,neutral,neutral,64,2,neutral
11980.0,2006-01-03,Members concurred that the statement should note that the expansion remained solid despite elevated energy prices and hurricane-related disruptions.,19,positive,neutral,negative,positive,0.917,negative,0.4001836399874454,negative,-0.4047,positive,neutral,neutral,65,2,neutral
11981.0,2006-02-21,M2 expanded at a somewhat faster pace in the fourth quarter than had been predicted from historical relationships with income and opportunity costs.,23,neutral,neutral,negative,positive,0.9309,positive,0.6513321551518594,positive,0.6249,positive,neutral,neutral,66,1,hawkish
11982.0,2006-04-18,"To date, unit labor costs were not placing pressure on inflation, and high profit margins left firms a considerable buffer to absorb cost increases.",24,neutral,neutral,positive,positive,0.655,positive,0.6038421309156661,positive,0.4215,neutral,neutral,positive,67,0,dovish
11983.0,2006-05-31,"While manufacturing growth for the first quarter as a whole slowed from the rapid pace of the fourth quarter, it exceeded that of the previous year.",26,positive,neutral,neutral,negative,-0.888,positive,0.594307167585335,positive,0.3818,neutral,neutral,positive,68,2,neutral
11984.0,2006-05-31,"Domestic nonfinancial sector debt was estimated to have grown at a robust pace in the first quarter, down only slightly from the brisk pace of 2005.",26,neutral,neutral,neutral,negative,-0.916,neutral,0.5133468285438566,positive,0.0534,positive,neutral,neutral,69,1,hawkish
11985.0,2006-05-31,"And, even if nominal wages should accelerate somewhat, relatively wide profit margins could buffer the effect on prices of final goods and services.",23,neutral,neutral,positive,positive,0.7777,positive,0.6624653314639486,positive,0.6743,neutral,neutral,positive,70,1,hawkish
11986.0,2006-07-20,The pass-through of the substantial rise in energy prices could account for a considerable part of the step-up in core inflation in recent quarters.,24,neutral,neutral,negative,neutral,0.3456,positive,0.6083543386109735,positive,0.4404,neutral,neutral,positive,71,1,hawkish
11987.0,2007-10-09,Growth of nonfinancial domestic debt was estimated to have slowed a little in the third quarter from the average pace in the first half of the year.,27,neutral,neutral,neutral,negative,-0.949,neutral,0.5064496422423137,neutral,0.0258,neutral,neutral,neutral,72,2,neutral
11988.0,2008-01-02,"TIPS yields fell less than their nominal counterparts, implying modest declines in inflation compensation both at the five-year and longer horizons.",21,neutral,neutral,positive,negative,-0.811,neutral,0.5,neutral,0.0,neutral,neutral,positive,73,0,dovish
11989.0,2008-02-20,"In this context, the Committee judged that some inflation risk remained and said that it would continue to monitor inflation developments carefully.",22,neutral,neutral,negative,neutral,0.161,neutral,0.4617995877634644,negative,-0.1531,neutral,neutral,positive,74,1,hawkish
11990.0,2008-04-08,"Real outlays for nondurable and durable consumer goods, including automobiles, were estimated to have declined, on average, in January and February.",21,negative,neutral,neutral,negative,-0.964,positive,0.6083543386109735,positive,0.4404,negative,neutral,neutral,75,0,dovish
11991.0,2008-04-08,"Most other categories of imports dropped in December and January on net, with especially large declines in imports of automotive and consumer goods.",23,negative,neutral,neutral,negative,-0.965,neutral,0.5342462962794261,positive,0.1372,neutral,neutral,neutral,76,0,dovish
11992.0,2008-04-08,"In discussing the external sector of the economy, some participants indicated that net exports remained a notable source of support for the economy.",23,positive,neutral,neutral,positive,0.8618,positive,0.5991440698122475,positive,0.4019,neutral,neutral,positive,77,2,neutral
11993.0,2008-07-16,"Manufacturing output also fell in April and was unchanged in May; over the two months, factory production slowed across a broad range of industries.",24,negative,neutral,neutral,negative,-0.966,neutral,0.5,neutral,0.0,negative,neutral,neutral,78,0,dovish
11994.0,2008-07-16,"Over the intermeeting period, spreads of rates on conforming residential mortgages over comparable-maturity Treasury securities remained about flat.",18,neutral,neutral,neutral,negative,-0.42,positive,0.6210247413644827,positive,0.4939,neutral,neutral,neutral,79,2,neutral
11995.0,2008-10-07,"Tight conditions in mortgage markets over the summer continued to restrain housing demand, especially for borrowers seeking nonconforming mortgages.",19,negative,neutral,neutral,negative,-0.96,neutral,0.4680436192023592,negative,-0.128,negative,neutral,neutral,80,0,dovish
11996.0,2008-11-19,"Measures of consumer sentiment dropped in October to near or below their low levels of midyear, with the Conference Board measure exceptionally low.",23,negative,neutral,neutral,negative,-0.967,negative,0.3433050934392716,negative,-0.6486,negative,neutral,neutral,81,0,dovish
11997.0,2009-01-06,"The unemployment rate climbed to 6.7 percent in November, while the labor force participation rate fell after remaining steady for much of the year.",24,neutral,negative,neutral,negative,-0.953,negative,0.3916456613890264,negative,-0.4404,neutral,neutral,positive,82,0,dovish
11998.0,2009-01-06,"Sales of existing single-family homes changed little, although a drop in pending home sales in October pointed to further declines in the near term.",24,negative,neutral,neutral,negative,-0.907,negative,0.4491761350327461,negative,-0.204,neutral,neutral,neutral,83,0,dovish
11999.0,2009-02-18,"In other cases, the Federal Reserve eventually may have to take a more active role in scaling back programs by adjusting their terms and conditions.",25,neutral,neutral,neutral,neutral,-0.137,positive,0.5991440698122475,positive,0.4019,neutral,neutral,neutral,84,1,hawkish
12000.0,2009-04-08,"Expenditures were being cut substantially for a wide range of capital equipment, and spending on nonresidential structures had recently turned down.",21,negative,neutral,neutral,negative,-0.959,negative,0.4321216689988913,negative,-0.2732,negative,neutral,neutral,85,0,dovish
12001.0,2009-05-20,"As of April 22, the System's total assets and liabilities were close to $2.2 trillion, about $130 billion higher than just before the March meeting.",25,positive,neutral,neutral,positive,0.7513,neutral,0.5443580731214791,positive,0.1779,neutral,neutral,positive,86,2,neutral
12002.0,2009-07-15,Rates for conforming 30-year fixed-rate mortgages rose on net between late April and late June but remained below the levels seen over most of 2008.,25,neutral,neutral,neutral,negative,-0.337,neutral,0.5,neutral,0.0,neutral,neutral,neutral,87,2,neutral
12003.0,2009-07-15,"Purchasing managers indexes rebounded from the exceptionally low levels reached in the first quarter, and industrial production stabilized somewhat.",19,neutral,neutral,neutral,positive,0.7796,negative,0.4361505011420874,negative,-0.2568,neutral,neutral,neutral,88,2,neutral
12004.0,2009-07-15,The expected path of the federal funds rate implied by futures prices was largely unchanged by the release of the Committee's statement and minutes.,24,neutral,neutral,neutral,neutral,-0.053,neutral,0.5,neutral,0.0,neutral,neutral,neutral,89,2,neutral
12005.0,2009-07-15,"Over the intermeeting period, functioning in the market for Treasury securities generally improved and trading picked up, but some strains remained.",21,positive,neutral,neutral,positive,0.5688,positive,0.6703127684073539,positive,0.7096,positive,neutral,neutral,90,2,neutral
12006.0,2009-07-15,Participants noted the considerable uncertainty surrounding estimates of the output and unemployment gaps and the extent of their effects on prices.,21,negative,negative,neutral,negative,-0.91,negative,0.3433050934392716,negative,-0.6486,neutral,neutral,neutral,91,2,neutral
12007.0,2009-09-02,"The on-the-run liquidity premium for the 10-year Treasury note was little changed at elevated levels, although it was well below its peak last fall.",24,neutral,neutral,neutral,negative,-0.45,positive,0.5504032199355139,positive,0.2023,neutral,neutral,neutral,92,2,neutral
12008.0,2010-01-06,The staff interpreted the increases in prices of energy and nonmarket services that recently boosted consumer price inflation as largely transitory.,21,neutral,neutral,negative,negative,-0.374,positive,0.6741246306283071,positive,0.7269,neutral,neutral,positive,93,0,dovish
12009.0,2010-02-17,Spreads on A2/P2-rated commercial paper (CP) and AA-rated asset-backed CP held steady at the low end of the range that has prevailed since mid-2007.,24,neutral,neutral,neutral,negative,-0.774,neutral,0.5256524569705925,positive,0.1027,neutral,neutral,neutral,94,2,neutral
12010.0,2010-05-19,"The drop in commercial real estate loans persisted, reflecting weak fundamentals that limited originations as well as charge-offs of existing loans.",21,negative,neutral,neutral,negative,-0.96,negative,0.3515119200515958,negative,-0.6124,negative,neutral,neutral,95,0,dovish
12011.0,2010-08-31,"The central banks of a number of EMEs, including Brazil, Chile, India, Malaysia, South Korea, Taiwan, and Thailand, increased policy interest rates.",22,neutral,neutral,No majority found,positive,0.6617,positive,0.6639172257204139,positive,0.6808,neutral,neutral,positive,96,1,hawkish
12012.0,2010-10-12,Conditions in short-term funding markets continued to improve following the recent stresses related to concerns about financial stability in Europe.,20,neutral,neutral,neutral,positive,0.9385,neutral,0.5064496422423137,neutral,0.0258,neutral,neutral,neutral,97,2,neutral
12013.0,2010-10-12,The softer tone of incoming economic data suggested that the underlying level of demand was weaker than projected at the time of the August meeting.,25,negative,neutral,neutral,negative,-0.961,negative,0.3712868889590731,negative,-0.5267,negative,neutral,neutral,98,0,dovish
12014.0,2011-01-04,"Although inventory-sales ratios rose during the third quarter, survey data implied that few businesses perceived inventory stocks as being too high.",21,positive,neutral,neutral,positive,0.1067,neutral,0.5,neutral,0.0,neutral,neutral,neutral,99,2,neutral
